,secretary,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the secretary,target,237017809,,F2_Noun_phrase_3syll_1,,,,8,7,4,
,,P1,the settee,distant,14352447,,,,,,,,,
,,P2,the cemetry,distant,313803443,,,,,,,,,
,,P3,the security,distant,101014177,,,,,,,,,
,,S1,the typewriter,assoc,110397353,,,,,,,,,
,,S2,the desk,assoc,123654789,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,hospital,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,,,Freq bin,Conc bin,Syllable,
,,Target,the hospital,target,156022646,,F2_Noun_phrase_3syll_2,,,,8,7,3,
,,P1,The hostel,distant,230648185,,,,,,,,,
,,P2,The hosepipe,distant,106051277,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The ambulance,assoc,35015805,,,,,,,,,
,,S2,The stethoscope,assoc,173685527,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,The car,un,9545845848,,,,,,,,,
,,,,,,,,,,,,,,
,butterfly,,Linguistic unit,P type,Image ID,Male 3,Female 4,,,,Freq bin,Conc bin,Syllable,
,,Target,The butterfly,target,262034852,,F2_Noun_phrase_3syll_3,,,,6,7,3,
,,P1,The butter,distant,157625549,,,,,,,,,
,,P2,The fly,distant,781520,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The dragonfly,coord,117170536,,,,,,,,,
,,S2,The caterpillar,coord,315158195,,,,,,,,,
,,Un,The knife,un,22159341,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,escalator,,Linguistic unit,P type,Image ID,Male 5,Female 6,,,,Freq bin,Conc bin,Syllable,
,,Target,the escalator,target,235322389,,F2_Noun_phrase_3syll_5,,,,4,7,4,
,,P1,the calcuator,mp,324522782,,,,,,,,,
,,P2,the grater,mp,169721918,,,,,,,,,
,,P3,the alligator,close,310333790,,,,,,,,,
,,S1,the stairs,coord,43132054,,,,,,,,,
,,S2,the computer,un,876153,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,typewriter,,Linguistic unit,P type,Image ID,Male 6,Female 7,,,,Freq bin,Conc bin,Syllable,
,,Target,a typewriter,target,110397353,,F2_Noun_phrase_3syll_6,,,,4,7,3,
,,P1,a firefighter,distant,310751357,,,,,,,,,
,,P2,a lighter,distant,271240043,,,,,,,,,
,,P3,a bullfighter,distant,155341151,,,,,,,,,
,,S1,a computer,coord,876153,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,a radio,un,161421995,,,,,,,,,
,,,,,,,,,,,,,,
,alcohol,,Linguistic unit,P type,Image ID,Male 7,Female 8,,,,Freq bin,Conc bin,Syllable,
,,Target,the alcohol,target,280812776,M1_Noun_phrase_3syll_7,,,,,7,7,3,
,,P1,the parasol,distant,26617003,,,,,,,,,
,,P2,the ankle,distant,7065985,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the juice,coord,328154375,,,,,,,,,
,,S2,the glass,assoc,10293484,,,,,,,,,
,,S3,the umbrella (drink),assoc,171499982,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,evidence,,Linguistic unit,P type,Image ID,Male 8,Female 9,,,,Freq bin,Conc bin,Syllable,
,,Target,The evidence,target,187941386,M1_Noun_phrase_3syll_8,,,,,8,5,3,
,,P1,The elephants,distant,310955243,,,,,,,,,
,,P2,the ambulance,distant,35015805,,,,,,,,,
,,P3,the audience,distant,144638723,,,,,,,,,
,,S1,The court of justice,assoc,243765985,,,,,,,,,
,,S2,The police,assoc,140116000,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,family,,Linguistic unit,P type,Image ID,Male 10,Female 11,,,,Freq bin,Conc bin,Syllable,
,,Target,The family,target,207786421,M1_Noun_phrase_3syll_10,,,,,8,6,3,
,,P1,The famine,distant,134653718,,,,,,,,,
,,P2,The fax,distant,270895163,,,,,,,,,
,,P3,The pharmacy,distant,222362446,,,,,,,,,
,,S1,The house,assoc,90784409,,,,,,,,,
,,S2,The love,assoc,17265799,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,footballer,,The Linguistic unit,P type,Image ID,,,,,,Freq bin,Conc bin,Syllable,
,,Target,The footballer,target,257173666,M1_Noun_phrase_3syll_11,,,,,6,7,3,
,,P1,The football,mp,66600742,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The foot,assoc,700001,,,,,,,,,
,,S2,The football goal,assoc,7273203,,,,,,,,,
,,Un,The footbal boot,un,195946388,,,,,,,,,
,,Un,The baseballer,un,79358443,,,,,,,,,
,,,,,,,,,,,,,,
